Account Name,AccountID,Amdocs Fiscal Month,Country Name,CountryID,Org3,OrgID,Portfolio,PortfolioID,Release Name,ReleaseID,ReleaseProbability,Release Status,ReleaseStatusID,Actual,Demand,UnitDemand,DemandAVG,DeltaMonth
TRUE MOVE(797),62,2017/03,INDIA,18,CSU APAC,1,APAC,1,V763.5,352,0,Completed,1,2,2,2,2,0
TRUE MOVE(797),62,2017/03,CHILE,8,CSU APAC,1,APAC,1,Migretion,185,0,Completed,1,3,3,2,2.5,0
TRUE MOVE(797),62,2017/03,INDIA,18,CSU APAC,1,APAC,1,Migretion,185,0,Completed,1,4,4,7.3,5.65,0
TRUE MOVE(797),62,2017/04,INDIA,18,CSU APAC,1,APAC,1,Migretion,185,0,Completed,1,8,1,7.3,4.15,1
TRUE MOVE(797),62,2017/05,INDIA,18,CSU APAC,1,APAC,1,Migretion,185,0,Completed,1,4,3,7.3,5.15,0
TRUE MOVE(797),62,2017/06,INDIA,18,CSU APAC,1,APAC,1,Migretion,185,0,Completed,1,5,1,7.3,4.15,0
TRUE MOVE(797),62,2017/07,INDIA,18,CSU APAC,1,APAC,1,Migretion,185,0,Completed,1,8,2,7.3,4.65,1
TRUE MOVE(797),62,2017/08,INDIA,18,CSU APAC,1,APAC,1,Migretion,185,0,Completed,1,7,2,7.3,4.65,0
TRUE MOVE(797),62,2017/09,INDIA,18,CSU APAC,1,APAC,1,Migretion,185,0,Completed,1,3,3,7.3,5.15,0
TRUE MOVE(797),62,2017/10,INDIA,18,CSU APAC,1,APAC,1,Migretion,185,0,Completed,1,8,3,7.3,5.15,1
TRUE MOVE(797),62,2017/11,INDIA,18,CSU APAC,1,APAC,1,Migretion,185,0,Completed,1,8,1,7.3,4.15,1
TRUE MOVE(797),62,2017/12,INDIA,18,CSU APAC,1,APAC,1,Migretion,185,0,Completed,1,4,1,7.3,4.15,0
TRUE MOVE(797),62,2017/03,ISRAEL,21,CSU APAC,1,APAC,1,Migretion,185,0,Completed,1,3,2,3,2.5,0
TRUE MOVE(797),62,2017/04,ISRAEL,21,CSU APAC,1,APAC,1,Migretion,185,0,Completed,1,2,3,1,2,0
TRUE MOVE(797),62,2017/05,ISRAEL,21,CSU APAC,1,APAC,1,Migretion,185,0,Completed,1,4,1,4,2.5,0
TRUE MOVE(797),62,2017/06,ISRAEL,21,CSU APAC,1,APAC,1,Migretion,185,0,Completed,1,1,1,4,2.5,0
TRUE MOVE(797),62,2017/03,INDIA,18,DCC BC&S-CC,10,APAC,1,Migretion,185,0,Completed,1,9,9,9,9,0
TRUE MOVE(797),62,2017/04,INDIA,18,DCC BC&S-CC,10,APAC,1,Migretion,185,0,Completed,1,2,1,5.5,3.25,0
TRUE MOVE(797),62,2017/05,INDIA,18,DCC BC&S-CC,10,APAC,1,Migretion,185,0,Completed,1,3,2,5.5,3.75,0
TRUE MOVE(797),62,2017/06,INDIA,18,DCC BC&S-CC,10,APAC,1,Migretion,185,0,Completed,1,1,1,5.5,3.25,0
TRUE MOVE(797),62,2017/07,INDIA,18,DCC BC&S-CC,10,APAC,1,Migretion,185,0,Completed,1,2,2,5.5,3.75,0
TRUE MOVE(797),62,2017/08,INDIA,18,DCC BC&S-CC,10,APAC,1,Migretion,185,0,Completed,1,5,2,5.5,3.75,0
TRUE MOVE(797),62,2017/09,INDIA,18,DCC BC&S-CC,10,APAC,1,Migretion,185,0,Completed,1,5,1,5.5,3.25,0
TRUE MOVE(797),62,2017/10,INDIA,18,DCC BC&S-CC,10,APAC,1,Migretion,185,0,Completed,1,2,2,5.67,3.835,0
TRUE MOVE(797),62,2017/11,INDIA,18,DCC BC&S-CC,10,APAC,1,Migretion,185,0,Completed,1,4,2,5.67,3.835,0
TRUE MOVE(797),62,2017/12,INDIA,18,DCC BC&S-CC,10,APAC,1,Migretion,185,0,Completed,1,3,3,5.67,4.335,0
TRUE MOVE(797),62,2017/03,ISRAEL,21,DCC BC&S-CC,10,APAC,1,Migretion,185,0,Completed,1,4,3,4,3.5,0
TRUE MOVE(797),62,2017/04,ISRAEL,21,DCC BC&S-CC,10,APAC,1,Migretion,185,0,Completed,1,1,1,2,1.5,0
TRUE MOVE(797),62,2017/03,ISRAEL,21,DCC RM-CC,18,APAC,1,V763.5,352,0,Completed,1,3,1,3,2,0
TRUE MOVE(797),62,2017/03,INDIA,18,DCC RM-CC,18,APAC,1,Migretion,185,0,Completed,1,11,13,13,13,-1
TRUE MOVE(797),62,2017/04,INDIA,18,DCC RM-CC,18,APAC,1,Migretion,185,0,Completed,1,11,3,10,6.5,1
TRUE MOVE(797),62,2017/05,INDIA,18,DCC RM-CC,18,APAC,1,Migretion,185,0,Completed,1,2,1,10,5.5,0
TRUE MOVE(797),62,2017/06,INDIA,18,DCC RM-CC,18,APAC,1,Migretion,185,0,Completed,1,8,2,10,6,0
TRUE MOVE(797),62,2017/07,INDIA,18,DCC RM-CC,18,APAC,1,Migretion,185,0,Completed,1,7,3,10,6.5,0
TRUE MOVE(797),62,2017/08,INDIA,18,DCC RM-CC,18,APAC,1,Migretion,185,0,Completed,1,10,3,10,6.5,0
TRUE MOVE(797),62,2017/09,INDIA,18,DCC RM-CC,18,APAC,1,Migretion,185,0,Completed,1,8,2,10,6,0
TRUE MOVE(797),62,2017/10,INDIA,18,DCC RM-CC,18,APAC,1,Migretion,185,0,Completed,1,12,2,10.3,6.15,1
TRUE MOVE(797),62,2017/11,INDIA,18,DCC RM-CC,18,APAC,1,Migretion,185,0,Completed,1,9,3,10.3,6.65,0
TRUE MOVE(797),62,2017/12,INDIA,18,DCC RM-CC,18,APAC,1,Migretion,185,0,Completed,1,11,1,10.3,5.65,1
TRUE MOVE(797),62,2017/03,INDIA,18,Program MNG CC,21,APAC,1,Migretion,185,0,Completed,1,1,1,3,2,0
XL AXIATA(1142),77,2017/03,INDIA,18,CSU APAC,1,APAC,1,CRM Lite,84,0,Completed,1,3,3,3,3,0
XL AXIATA(1142),77,2017/03,INDIA,18,CSU APAC,1,APAC,1,CR#389 - RPL Diameter,81,0,Completed,1,3,3,1,2,0
XL AXIATA(1142),77,2017/04,INDIA,18,CSU APAC,1,APAC,1,CRM Lite,84,0,Completed,1,3,3,3,3,0
XL AXIATA(1142),77,2017/04,INDIA,18,CSU APAC,1,APAC,1,CR#389 - RPL Diameter,81,0,Completed,1,1,2,1,1.5,0
XL AXIATA(1142),77,2017/03,INDIA,18,DCC RM-CC,18,APAC,1,CRM Lite,84,0,Completed,1,3,2,4,3,0
XL AXIATA(1142),77,2017/04,INDIA,18,DCC RM-CC,18,APAC,1,CRM Lite,84,0,Completed,1,1,2,1,1.5,0
FET(1445),24,2017/03,INDIA,18,CSU APAC,1,APAC,1,Phase3,258,0,Completed,1,3,1.99,3.38,2.685,0
FET(1445),24,2017/03,ISRAEL,21,CSU APAC,1,APAC,1,Phase3,258,0,Completed,1,1,0.01,0.02,0.015,1
FET(1445),24,2017/03,INDIA,18,DCC BC&S-CC,10,APAC,1,Phase3,258,0,Completed,1,4,3.39,1.95,2.67,1
FET(1445),24,2017/03,ISRAEL,21,DCC BC&S-CC,10,APAC,1,Phase3,258,0,Completed,1,1,0.11,0.05,0.08,1
FET(1445),24,2017/03,CHINA,9,DCC EDIT-CC,14,APAC,1,Phase3,258,0,Completed,1,1,0.06,3,1.53,0
FET(1445),24,2017/03,INDIA,18,DCC EDIT-CC,14,APAC,1,Phase3,258,0,Completed,1,2,1.42,3,2.21,0
FET(1445),24,2017/03,ISRAEL,21,DCC EDIT-CC,14,APAC,1,Phase3,258,0,Completed,1,1,0.02,3,1.51,0
